api_football_id,name,firstname,lastname,norm_name,nationality,age,club,position,appearances,starts,minutes,starter_rate,goals,assists,shots_total,shots_on_target,key_passes,dribbles_success,tackles_total,tackles_blocks,interceptions,duels_won,yellow_cards,yellowred_cards,red_cards,saves,goals_conceded,penalties_won,penalties_missed,penalties_saved,fouls_drawn,fouls_committed,rating
129058,B. Verbruggen,Bart,Verbruggen,b. verbruggen,Netherlands,23,Brighton,Goalkeeper,38,38,3420,1.0,0,0,0,0,1,1,1,0,0,16,3,0,0,106,46,0,0,1,3,2,7.05
162007,M. De Cuyper,Maxim,De Cuyper,m. de cuyper,Belgium,25,Brighton,Defender,30,17,1443,0.567,2,3,9,6,33,7,23,2,12,61,2,0,0,0,0,0,0,0,21,18,6.86
265820,Y. Ayari,Yasin,Abbas Ayari,y. ayari,Sweden,22,Brighton,Midfielder,29,20,1941,0.69,3,3,30,10,16,18,46,4,26,101,1,0,0,0,0,0,0,0,28,24,6.76
278370,D. Gómez,Diego Alexander,Gómez Amarilla,d. gomez,Paraguay,22,Brighton,Midfielder,32,26,2137,0.812,5,1,31,14,20,19,78,3,18,162,9,0,0,0,0,0,0,0,11,48,6.74
328225,B. Gruda,Brajan,Gruda,b. gruda,Germany,21,Brighton,Midfielder,18,8,740,0.444,1,1,12,6,16,20,14,0,2,56,2,0,0,0,0,0,0,0,14,11,6.61
356041,C. Baleba,Carlos Noom,Quomah Baleba,c. baleba,Cameroon,21,Brighton,Midfielder,31,23,1677,0.742,0,0,12,2,9,12,37,6,28,102,5,0,0,0,0,0,0,0,24,31,6.63
383685,Y. Minteh,Yankuba,Minteh Moat,y. minteh,Gambia,21,Brighton,Midfielder,34,26,2398,0.765,3,4,26,11,46,65,55,0,17,161,3,0,0,0,0,1,0,0,22,32,6.85
131,Jorge Cuenca,Jorge,Cuenca Barreno,jorge cuenca,Spain,26,Fulham,Defender,15,11,965,0.733,0,0,1,0,3,2,16,10,15,36,6,0,0,0,0,0,0,0,1,10,6.85
657,K. Tete,Kenny Joelle,Tete,k. tete,Netherlands,30,Fulham,Defender,22,21,1802,0.955,1,0,10,3,11,8,64,6,27,130,2,0,0,0,0,0,0,0,31,27,6.93
1161,E. Smith Rowe,Emile,Smith Rowe,e. smith rowe,England,25,Fulham,Midfielder,37,22,1944,0.595,3,0,25,11,18,14,35,1,22,72,1,0,0,0,0,0,0,0,17,10,6.65
1438,B. Leno,Bernd,Leno,b. leno,Germany,33,Fulham,Goalkeeper,38,38,3429,1.0,0,0,0,0,0,0,4,0,1,28,3,0,0,98,51,0,0,0,6,0,6.92
1455,A. Iwobi,Alexander Chuka,Iwobi,a. iwobi,Nigeria,29,Fulham,Midfielder,29,29,2443,1.0,4,3,24,15,43,19,28,3,15,63,3,0,0,0,0,0,0,0,10,8,7.07
1934,S. Berge,Sander Gard,Bolin Berge,s. berge,Norway,27,Fulham,Midfielder,35,34,2920,0.971,0,1,8,3,21,10,58,16,25,132,5,0,0,0,0,0,0,0,14,35,6.89
2729,J. Andersen,Joachim Christian,Andersen,j. andersen,Denmark,29,Fulham,Defender,33,33,2884,1.0,0,1,13,4,7,6,45,19,36,141,7,0,1,0,0,0,0,0,13,30,7.04
2823,S. Lukić,Saša,Lukić,s. lukic,Serbia,29,Fulham,Midfielder,26,20,1734,0.769,1,2,13,6,28,6,49,9,18,103,9,0,0,0,0,0,0,0,25,53,6.6
2887,R. Jiménez,Raúl Alonso,Jiménez Rodríguez,r. jimenez,Mexico,34,Fulham,Attacker,36,27,2216,0.75,9,3,53,19,25,11,34,3,8,162,5,0,0,0,0,2,0,0,34,46,6.68
2920,T. Castagne,Timothy,Castagne,t. castagne,Belgium,30,Fulham,Defender,30,20,1881,0.667,0,0,9,6,18,3,40,10,31,81,4,0,0,0,0,1,0,0,11,18,6.75
18753,Adama Traoré,Adama,Traoré Diarra,adama traore,Spain,29,Fulham,Attacker,15,1,318,0.067,0,0,3,1,3,6,1,0,0,16,0,0,0,0,0,0,0,0,8,6,6.51
18814,I. Diop,Issa Laye Lucas Jean,Diop,i. diop,France,28,Fulham,Defender,13,8,827,0.615,1,0,2,1,0,1,7,7,6,26,2,0,0,0,0,0,0,0,3,9,6.64
19025,T. Cairney,Thomas,Cairney,t. cairney,Scotland,34,Fulham,Midfielder,24,6,814,0.25,2,0,10,2,11,4,7,1,4,32,3,0,0,0,0,0,0,0,11,10,6.81
19221,H. Wilson,Harry,Wilson,h. wilson,Wales,28,Fulham,Midfielder,36,32,2701,0.889,10,7,51,25,39,18,29,3,15,89,7,0,0,0,0,0,0,0,37,13,7.11
19480,H. Reed,Harrison James,Reed,h. reed,England,30,Fulham,Midfielder,7,1,126,0.143,1,0,1,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,6.89
152967,C. Bassey,Calvin,Bassey Ughelumba,c. bassey,Nigeria,26,Fulham,Defender,30,28,2553,0.933,1,0,6,1,10,10,62,21,22,151,5,0,0,0,0,1,0,0,40,28,6.87
195106,Rodrigo Muniz,Rodrigo,Muniz Carvalho,rodrigo muniz,Brazil,24,Fulham,Attacker,21,10,997,0.476,1,1,21,5,8,5,8,3,2,108,2,0,0,0,0,0,0,0,18,21,6.52
342063,D. Coppola,Diego,Coppola,d. coppola,Italy,22,Brighton,Defender,5,2,201,0.4,0,0,0,0,0,1,2,2,1,13,2,0,0,0,0,0,0,0,0,4,6.7
389315,Joshua King,Joshua,King,joshua king,England,18,Fulham,Midfielder,32,15,1319,0.469,1,2,21,11,15,16,27,5,3,76,4,0,0,0,0,0,0,0,30,13,6.62
2298,C. Hudson-Odoi,Callum James,Hudson-Odoi,c. hudson-odoi,England,25,Nottingham Forest,Midfielder,30,21,1849,0.7,3,4,20,10,44,30,14,2,8,59,0,0,0,0,0,0,0,0,12,12,6.9
2771,O. Aina,Temitayo Olufisayo Olaoluwa,Aina,o. aina,Nigeria,29,Nottingham Forest,Defender,18,18,1590,1.0,0,0,9,1,10,15,31,3,25,85,3,0,0,0,0,0,0,0,15,13,6.9
2817,N. Milenković,Nikola,Milenković,n. milenkovic,Serbia,28,Nottingham Forest,Defender,38,37,3375,0.974,0,0,14,1,3,3,31,36,29,143,6,0,0,0,0,0,0,0,20,21,6.83
2919,M. Sels,Matz Willy Els,Sels,m. sels,Belgium,33,Nottingham Forest,Goalkeeper,31,30,2667,0.968,0,0,0,0,1,0,1,0,0,10,2,0,0,94,39,0,0,1,4,0,6.83
9366,Igor Jesus,Igor Jesus Maciel,da Cruz,igor jesus,Brazil,24,Nottingham Forest,Attacker,37,28,2320,0.757,6,4,39,21,15,11,24,5,3,155,2,0,0,0,0,0,0,0,40,42,6.6
18746,M. Gibbs-White,Morgan Anthony,Gibbs-White,m. gibbs-white,England,25,Nottingham Forest,Midfielder,37,35,3110,0.946,15,4,59,32,49,30,20,3,13,130,1,0,0,0,0,1,0,0,41,26,6.92
18931,C. Wood,Christopher Grant,Wood,c. wood,New Zealand,34,Nottingham Forest,Attacker,15,11,906,0.733,3,0,23,9,5,1,1,4,1,34,0,0,0,0,0,0,0,0,6,6,6.61
18933,A. Gunn,Angus Fraser James,Gunn,a. gunn,Scotland,29,Nottingham Forest,Goalkeeper,1,0,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3
19305,R. Yates,Ryan James,Yates,r. yates,England,28,Nottingham Forest,Midfielder,22,2,629,0.091,0,2,5,2,5,1,16,3,9,50,3,0,0,0,0,0,0,0,13,13,6.69
22149,I. Sangaré,Ibrahim,Sangaré,i. sangare,Côte d'Ivoire,28,Nottingham Forest,Midfielder,28,25,2080,0.893,2,2,14,5,12,11,60,19,25,112,5,0,0,0,0,0,0,0,18,42,6.97
48648,D. Ndoye,Dan Assane,Ndoye,d. ndoye,Switzerland,25,Nottingham Forest,Midfielder,24,14,1176,0.583,1,1,11,4,14,13,23,2,10,69,1,0,0,0,0,0,0,0,22,16,6.63
67943,Morato,Felipe,Rodrigues da Silva,morato,Brazil,24,Nottingham Forest,Defender,21,14,1366,0.667,1,0,5,2,2,5,30,15,11,65,5,0,0,0,0,0,0,0,7,16,6.94
138780,N. Williams,Neco Shay,Williams,n. williams,Wales,24,Nottingham Forest,Defender,37,36,3206,0.973,2,3,28,19,37,31,96,17,47,216,6,0,1,0,0,0,0,0,52,30,6.93
138908,E. Anderson,Elliot,Anderson,e. anderson,Scotland,23,Nottingham Forest,Midfielder,38,37,3334,0.974,4,4,26,10,55,50,104,16,40,298,8,0,0,0,0,0,0,0,80,57,7.35
141901,Jota Silva,João Pedro,Ferreira Silva,jota silva,Portugal,26,Nottingham Forest,Attacker,1,0,11,0.0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,6.7
329357,Z. Abbott,Zach,Abbott,z. abbott,England,19,Nottingham Forest,Defender,3,2,165,0.667,0,0,0,0,0,1,4,1,1,12,0,0,0,0,0,0,0,0,1,3,6.47
362711,Jair,Jair Paula,da Cunha Filho,jair,Brazil,20,Nottingham Forest,Defender,9,6,525,0.667,0,0,1,1,1,2,9,2,5,22,0,0,0,0,0,0,0,0,6,0,6.64
363695,Murillo,Murillo,Santiago Costa dos Santos,murillo,Brazil,23,Nottingham Forest,Defender,25,25,2133,1.0,1,0,6,4,8,9,35,24,34,74,5,0,0,0,0,0,0,0,7,23,7.02
281,C. Kelleher,Caoimhín Odhrán,Kelleher,c. kelleher,Republic of Ireland,27,Brentford,Goalkeeper,37,37,3341,1.0,0,0,0,0,3,3,1,0,1,16,1,0,0,109,49,0,0,3,6,3,7.04
292,J. Henderson,Jordan Brian,Henderson,j. henderson,England,35,Brentford,Midfielder,32,22,1929,0.688,1,3,4,1,19,3,27,7,17,48,6,0,0,0,0,0,0,0,7,13,6.8
1119,K. Ajer,Kristoffer,Vassbakk Ajer,k. ajer,Norway,27,Brentford,Defender,27,20,1820,0.741,0,1,8,3,4,3,37,16,18,105,4,0,0,0,0,0,0,0,5,23,6.66
8598,T. Awoniyi,Taiwo Micheal,Awoniyi,t. awoniyi,Nigeria,28,Nottingham Forest,Attacker,17,3,502,0.176,4,1,14,8,6,2,2,1,1,20,2,0,0,0,0,1,0,0,7,10,6.68
15799,F. Onyeka,Ogochukwu Frank,Onyeka,f. onyeka,Nigeria,27,Brentford,Midfielder,6,0,88,0.0,0,1,0,0,1,2,2,0,0,8,0,0,0,0,0,0,0,0,3,3,6.64
